id,name,url
Explorers+of+Ixalan,Explorers of Ixalan,https://www.magiccardmarket.eu/Expansions/Explorers+of+Ixalan
Fallen+Empires,Fallen Empires,https://www.magiccardmarket.eu/Expansions/Fallen+Empires
Fallen+Empires%3A+Wyvern+Misprints,Fallen Empires: Wyvern Misprints,https://www.magiccardmarket.eu/Expansions/Fallen+Empires%3A+Wyvern+Misprints
Fate+Reforged,Fate Reforged,https://www.magiccardmarket.eu/Expansions/Fate+Reforged
Fate+Reforged%3A+Promos,Fate Reforged: Promos,https://www.magiccardmarket.eu/Expansions/Fate+Reforged%3A+Promos
Fifth+Dawn,Fifth Dawn,https://www.magiccardmarket.eu/Expansions/Fifth+Dawn
Fifth+Edition,Fifth Edition,https://www.magiccardmarket.eu/Expansions/Fifth+Edition
Filler+Cards,Filler Cards,https://www.magiccardmarket.eu/Expansions/Filler+Cards
Foreign+Black+Bordered,Foreign Black Bordered,https://www.magiccardmarket.eu/Expansions/Foreign+Black+Bordered
Foreign+White+Bordered,Foreign White Bordered,https://www.magiccardmarket.eu/Expansions/Foreign+White+Bordered
Fourth+Edition,Fourth Edition,https://www.magiccardmarket.eu/Expansions/Fourth+Edition
Fourth+Edition%3A+Alternate,Fourth Edition: Alternate,https://www.magiccardmarket.eu/Expansions/Fourth+Edition%3A+Alternate
Fourth+Edition%3A+Black+Bordered,Fourth Edition: Black Bordered,https://www.magiccardmarket.eu/Expansions/Fourth+Edition%3A+Black+Bordered
Friday+Night+Magic+Promos,Friday Night Magic Promos,https://www.magiccardmarket.eu/Expansions/Friday+Night+Magic+Promos
From+the+Vault%3A+Angels,From the Vault: Angels,https://www.magiccardmarket.eu/Expansions/From+the+Vault%3A+Angels
From+the+Vault%3A+Annihilation,From the Vault: Annihilation,https://www.magiccardmarket.eu/Expansions/From+the+Vault%3A+Annihilation
From+the+Vault%3A+Dragons,From the Vault: Dragons,https://www.magiccardmarket.eu/Expansions/From+the+Vault%3A+Dragons
From+the+Vault%3A+Exiled,From the Vault: Exiled,https://www.magiccardmarket.eu/Expansions/From+the+Vault%3A+Exiled
