eur;name;id;condition;usd;set;isFoil;idLanguage;count
5.64;Ajani Vengeant;174852;NM;8.99;Shards of Alara;False;1;4
5.64;Ajani Vengeant;174852;NM;8.99;Shards of Alara;False;4;1
0.12;Ajani's Aid;425695;NM;0.25;Aether Revolt;False;1;1
0.39;Ajani's Chosen;370750;NM;0.34;Magic 2014 Core Set;False;4;1
0.07;Ajani's Presence;380368;NM;0.15;Journey into Nyx;True;1;1
0.67;Ajani's Pridemate;376241;NM;0.35;Commander 2013;False;1;1
0.49;Ajani's Pridemate;205065;NM;0.44;Magic 2011;False;4;1
0.49;Ajani's Pridemate;205065;NM;0.44;Magic 2011;False;1;3
4.92;Ajani, Caller of the Pride;370680;NM;5.06;Magic 2014 Core Set;False;4;1
0.77;Akiri, Line-Slinger;420643;NM;1.09;Commander 2016;True;1;1
0.16;Akki Lavarunner;78694;NM;0.35;Champions of Kamigawa;False;4;1
0.2;Akoum Battlesinger;198360;NM;0.13;Worldwake;False;1;2
0.2;Akoum Battlesinger;198360;NM;0.13;Worldwake;False;4;1
0.08;Akroan Crusader;373578;NM;0.13;Theros;False;4;10
0.08;Akroan Crusader;373578;NM;0.13;Theros;False;1;14
0.03;Akroan Hoplite;373590;NM;0.16;Theros;False;4;10
0.03;Akroan Hoplite;373590;NM;0.16;Theros;False;1;7
0.17;Akroan Horse;373550;NM;0.25;Theros;False;1;1
0.17;Akroan Horse;373550;NM;0.25;Theros;False;4;1
0.05;Akroan Skyguard;378375;NM;0.15;Born of the Gods;False;4;2
7.87;Akroma's Memorial;136150;NM;15.56;Future Sight;False;4;2
0.59;Akroma's Vengeance;247343;NM;1.09;Commander;False;1;1
1.25;Akroma, Angel of Fury;247358;NM;1.99;Commander;False;1;1
2.69;Akroma, Angel of Wrath;193871;NM;9.49;Duel Decks: Divine vs. Demonic;True;1;1
;Akroma, Angel of Wrath;106645;NM;3.97;"Time Spiral ""Timeshifted""";False;1;1
0.16;Alabaster Leech;22960;NM;0.29;Invasion;False;4;1
0.05;Alabaster Mage;220264;NM;0.17;Magic 2012;True;1;1
1.34;Alchemist's Refuge;240194;NM;0.99;Avacyn Restored;False;1;3
1.34;Alchemist's Refuge;240194;NM;0.99;Avacyn Restored;True;1;3
0.29;Alesha, Who Smiles at Death;391787;NM;0.35;Fate Reforged;False;1;1
0.29;Alesha, Who Smiles at Death;391787;NM;0.35;Fate Reforged;False;4;1
0.09;Aligned Hedron Network;401807;NM;0.25;Battle for Zendikar;True;1;1
;All Is Dust;1000014;NM;;Grand Prix;True;1;1
0.03;Alley Evasion;423673;NM;0.12;Aether Revolt;False;4;3
0.02;Alley Strangler;423719;NM;0.12;Aether Revolt;False;4;2
1.24;Alliance of Arms;228218;NM;1.49;Commander;False;1;1
0.02;Alluring Siren;205073;NM;0.17;Magic 2011;True;1;1
0.29;Ally Encampment;401808;NM;0.25;Battle for Zendikar;False;4;1
0.16;Alms Beast;366402;NM;0.25;Gatecrash;False;1;1
0.19;Alpha Brawl;262657;NM;0.25;Dark Ascension;False;1;1
0.18;Alter Reality;34832;NM;0.35;Torment;False;4;2
0.23;Altered Ego;410005;NM;0.25;Shadows over Innistrad;False;4;1
14.84;Aluren;4747;NM;17.99;Tempest;False;1;3
14.84;Aluren;4747;NM;17.99;Tempest;False;4;1
0.18;Ambition's Cost;45313;NM;0.35;Eighth Edition;True;4;1
0.18;Ambition's Cost;45313;NM;0.35;Eighth Edition;False;4;1
0.01;Ambitious Aetherborn;417645;NM;0.11;Kaladesh;False;4;6
0.05;Ambuscade;430799;NM;0.12;Hour of Devastation;True;1;1
0.05;Ambuscade;430799;NM;0.12;Hour of Devastation;False;1;1
0.05;Ambuscade;430799;NM;0.12;Hour of Devastation;False;4;1
0.6;Ambush Commander;157950;NM;1.73;Duel Decks: Elves vs. Goblins;True;1;1
0.11;Ambush Viper;220644;NM;0.14;Innistrad;True;1;1
0.06;Amrou Seekers;113509;NM;0.13;Time Spiral;True;4;1
4.15;Amulet of Vigor;191577;NM;7.16;Worldwake;False;1;1
0.34;Anarchy;2606;NM;0.25;Ice Age;False;4;2
;Anathemancer;1000416;NM;;Friday Night Magic;True;1;2
0.25;Anavolver;25951;NM;0.29;Apocalypse;False;4;1
0.19;Anax and Cymede;373530;NM;0.25;Theros;False;1;3
0.19;Anax and Cymede;373530;NM;0.25;Theros;False;4;1
0.02;Ancestor's Chosen;130550;NM;0.2;Tenth Edition;False;4;1
0.31;Ancestor's Prophet;39882;NM;0.35;Onslaught;False;1;2
0.31;Ancestor's Prophet;39882;NM;0.35;Onslaught;False;4;1
0.48;Ancestral Mask;413699;NM;0.49;Eternal Masters;False;1;2
0.45;Ancestral Mask;19634;NM;0.48;Mercadian Masques;False;4;3
0.45;Ancestral Mask;19634;NM;0.48;Mercadian Masques;False;1;2
0.28;Ancestral Memories;3323;NM;0.35;Mirage;False;5;1
0.02;Ancient Brontodon;435330;NM;0.11;Ixalan;False;1;2
0.03;Ancient Crab;426742;NM;0.12;Amonkhet;False;1;3
0.03;Ancient Crab;426742;NM;0.12;Amonkhet;False;4;4
0.32;Ancient Craving;368540;NM;0.25;Duel Decks: Sorin vs. Tibalt;False;1;1
1.13;Ancient Den;46063;NM;2.22;Mirrodin;False;1;4
1.13;Ancient Den;46063;NM;2.22;Mirrodin;False;4;6
;Ancient Grudge;1000438;NM;;Friday Night Magic;True;4;1
0.23;Ancient Grudge;425913;NM;0.22;Modern Masters 2017 Edition;False;1;3
0.23;Ancient Grudge;109751;NM;0.25;Time Spiral;False;1;4
0.24;Ancient Grudge;235600;NM;0.22;Innistrad;False;1;3
0.24;Ancient Grudge;235600;NM;0.22;Innistrad;False;4;1
;Ancient Hellkite;1000156;NM;;Launch Parties;True;4;1
0.26;Ancient Hellkite;204980;NM;0.35;Magic 2011;False;1;3
0.19;Ancient Silverback;16424;NM;0.32;Urza's Destiny;False;1;1
19.53;Ancient Tomb;4636;NM;28.92;Tempest;False;4;4
19.53;Ancient Tomb;4636;NM;28.92;Tempest;False;8;1
;Ancient Ziggurat;1000412;NM;;Friday Night Magic;True;1;2
6.49;Ancient Ziggurat;189271;NM;8.0;Conflux;True;1;1
1.0;Angel of Despair;247275;NM;2.45;Commander;False;1;1
0.19;Angel of Flight Alabaster;230620;NM;0.31;Innistrad;False;4;1
0.19;Angel of Flight Alabaster;230620;NM;0.31;Innistrad;False;1;2
0.5;Angel of Glory's Rise;239993;NM;0.36;Avacyn Restored;False;1;2
2.45;Angel of Jubilation;240120;NM;2.45;Avacyn Restored;False;1;1
2.45;Angel of Jubilation;240120;NM;2.45;Avacyn Restored;True;4;1
0.24;Angel of Retribution;32233;NM;0.35;Torment;False;6;1
0.12;Angel of Salvation;222774;NM;0.25;Duel Decks: Elspeth vs. Tezzeret;False;1;2
1.07;Angel of Serenity;253627;NM;0.85;Return to Ravnica;False;1;1
0.06;Angel of the God-Pharaoh;430693;NM;0.19;Hour of Devastation;False;1;1
3.29;Angel's Grace;110504;NM;4.49;Time Spiral;False;1;4
0.21;Angelheart Vial;193436;NM;0.31;Rise of the Eldrazi;False;4;1
0.27;Angelic Accord;370612;NM;0.25;Magic 2014 Core Set;False;4;1
0.45;Angelic Arbiter;247318;NM;0.99;Commander;False;1;1
0.37;Angelic Arbiter;204975;NM;0.99;Magic 2011;False;4;2
0.37;Angelic Arbiter;204975;NM;0.99;Magic 2011;False;1;1
0.07;Angelic Benediction;174826;NM;0.2;Shards of Alara;True;1;1
6.77;Angelic Destiny;220230;NM;6.68;Magic 2012;False;4;3
2.12;Angelic Overseer;220370;NM;1.78;Innistrad;False;1;4
0.04;Angelic Purge;409739;NM;0.13;Shadows over Innistrad;True;1;1
0.76;Angelic Skirmisher;366395;NM;0.61;Gatecrash;False;4;1
0.02;Angelic Wall;278065;NM;0.12;Avacyn Restored;True;1;1
0.94;Anger;33717;NM;2.81;Judgment;False;4;1
0.94;Anger;33717;NM;2.81;Judgment;True;4;1
0.94;Anger;33717;NM;2.81;Judgment;False;1;1
1.84;Anger of the Gods;373604;NM;0.99;Theros;False;4;1
1.84;Anger of the Gods;373604;NM;0.99;Theros;False;1;1
0.05;Angler Drake;426743;NM;0.18;Amonkhet;False;1;1
0.12;Angrath's Marauders;435286;NM;0.25;Ixalan;False;1;1
0.15;Animal Magnetism;42190;NM;0.33;Onslaught;False;4;1
2.08;Animar, Soul of Elements;236504;NM;26.5;Commander;False;1;1
1.07;Animate Dead;265167;NM;1.66;Premium Deck Series: Graveborn;True;1;3
0.73;Animate Dead;2085;NM;1.12;Fourth Edition;False;1;3
1.1;Animate Dead;3823;NM;1.27;Fifth Edition;False;6;1
1.1;Animate Dead;3823;NM;1.27;Fifth Edition;False;4;1
0.24;Animation Module;417767;NM;0.25;Kaladesh;False;1;1
1.13;Ankh of Mishra;1094;NM;0.63;Revised Edition;False;1;1
0.76;Ankh of Mishra;2017;NM;0.61;Fourth Edition;False;4;1
0.14;Ankle Shanker;420795;NM;0.23;Commander 2016;False;1;1
0.1;Ankle Shanker;386477;NM;0.22;Khans of Tarkir;False;4;2
0.05;Annihilating Fire;270801;NM;0.12;Return to Ravnica;False;1;9
0.05;Annihilating Fire;270801;NM;0.12;Return to Ravnica;True;1;1
0.12;Annul;45976;NM;0.13;Mirrodin;False;4;1
0.12;Annul;45976;NM;0.13;Mirrodin;False;1;3
0.12;Annul;373584;NM;0.13;Theros;False;1;24
0.12;Annul;373584;NM;0.13;Theros;False;4;9
0.02;Anointed Deacon;435242;NM;0.12;Ixalan;False;1;2
4.41;Anointed Procession;426704;NM;6.92;Amonkhet;True;1;3
0.06;Anointer Priest;426705;NM;0.13;Amonkhet;True;1;1
0.06;Anointer Priest;426705;NM;0.13;Amonkhet;False;4;4
0.06;Anointer Priest;426705;NM;0.13;Amonkhet;False;1;3
0.89;Anowon, the Ruin Sage;177508;NM;1.29;Worldwake;False;1;3
