id;name;set;buy;current;diff;diffpct
59069;Thought Vessel;Legendary Cube;4,52;3,21;-1,31;71%
46928;Bribery;Magic Online Promos;2,25;0,90;-1,35;40%
60547;Natural Order;Eternal Masters;2,59;1,22;-1,37;47%
37576;Birds of Paradise;Magic 2011;1,76;0,32;-1,44;18%
43935;Gisela, Blade of Goldnight;Avacyn Restored;1,60;0,16;-1,44;10%
38335;Venser, the Sojourner;Scars of Mirrodin;3,02;1,52;-1,50;50%
40644;Skullbriar, the Walking Grave;Commander 2011;2,17;0,65;-1,52;30%
20535;Sword of Fire and Ice;Darksteel;3,60;2,04;-1,56;57%
23935;Teysa, Orzhov Scion;Guildpact;1,74;0,14;-1,60;8%
39884;Beast Within;New Phyrexia;3,22;1,56;-1,66;48%
28453;Garruk Wildspeaker;Lorwyn;1,94;0,18;-1,76;9%
35715;Avenger of Zendikar;Worldwake;7,41;5,54;-1,87;75%
14171;Rhystic Study;Prophecy;5,63;3,70;-1,93;66%
21135;Boseiju, Who Shelters All;Champions of Kamigawa;3,24;1,26;-1,98;39%
55338;Tasigur, the Golden Fang;Fate Reforged;3,13;1,11;-2,02;35%
20688;Vedalken Shackles;Fifth Dawn;3,07;0,84;-2,23;27%
59047;Kaalia of the Vast;Legendary Cube;2,94;0,60;-2,34;20%
39792;Vorinclex, Voice of Hunger;New Phyrexia;2,77;0,40;-2,37;14%
43979;Tamiyo, the Moon Sage;Avacyn Restored;3,45;1,06;-2,39;31%
52849;Demonic Tutor;Vintage Masters;7,04;4,61;-2,43;65%
56866;Volrath's Stronghold;Tempest Remastered;2,94;0,47;-2,47;16%
37374;Grave Titan;Magic 2011;6,27;3,79;-2,48;60%
28711;Doran, the Siege Tower;Lorwyn;3,13;0,54;-2,59;17%
59043;Homeward Path;Legendary Cube;3,87;1,10;-2,77;28%
53093;Tropical Island;Vintage Masters;6,90;4,03;-2,87;58%
17329;Cabal Coffers;Torment;4,64;1,46;-3,18;31%
43291;Mikaeus, the Unhallowed;Dark Ascension;4,39;1,19;-3,20;27%
55187;Myriad Landscape;Commander 2014;4,74;1,53;-3,21;32%
59053;Animar, Soul of Elements;Legendary Cube;3,56;0,24;-3,32;7%
26758;Pact of Negation;Future Sight;6,77;2,31;-4,46;34%
55763;Ugin, the Spirit Dragon;Magic Online Promos;4,78;0,27;-4,51;6%
